model,n_tokens_clm,n_tokens_nl,latency_clm,latency_nl,input_tokens_clm,input_tokens_nl,output_tokens_clm,output_tokens_nl,cost_usd_clm,cost_usd_nl,n_tokens_gain_%,latency_gain_%,input_tokens_gain_%,output_tokens_gain_%,cost_usd_gain_%,nl_cost_per_request,clm_cost_per_request,nl_monthly_cost_per_user,clm_monthly_cost_per_user,user_monthly_savings,global_monthly_savings_usd,annual_global_savings_usd
claude-haiku-4-5-20251001,995.5,3076.0,2.1864102125167846,6.052083587646484,795.5,2666.5,200.0,409.5,0.0014364000000000002,0.0037712,67.64,63.87,70.17,51.16,61.91,0.0037712,0.0014364000000000002,1.2260078023407022,1.4428930185836266,-0.21688521624292445,-6506.556487287734,-78078.67784745281
claude-opus-4-1-20250805,995.5,2919.5,5.804736046791076,9.794271230697632,795.5,2666.5,200.0,253.0,0.005386500000000001,0.0117945,65.9,40.73,70.17,20.95,54.33,0.0117945,0.005386500000000001,4.039904093166638,5.410848819688599,-1.3709447265219614,-41128.341795658846,-493540.1015479062
